Class,ImageCount
00000,210
00001,2220
00002,2250
00003,1410
00004,1980
00005,1860
00006,420
00007,1440
00008,1410
00009,1470
00010,2010
00011,1320
00012,2100
00013,2160
00014,780
00015,630
00016,420
00017,1110
00018,1200
00019,210
00020,360
00021,330
00022,390
00023,510
00024,270
00025,1500
00026,600
00027,240
00028,540
00029,270
00030,450
00031,780
00032,240
00033,689
00034,420
00035,1200
00036,390
00037,210
00038,2070
00039,300
00040,360
00041,240
00042,240
