Filename,Predicted Class,Correct,Confidence
06578.ppm,9,True,0.060783982
11004.ppm,5,True,0.06037115
01217.ppm,9,True,0.060622655
00109.ppm,4,True,0.052258532
09893.ppm,10,True,0.06076585
07666.ppm,2,True,0.059213474
08555.ppm,38,True,0.060786817
03400.ppm,4,False,0.038312458
05071.ppm,11,True,0.060786817
05717.ppm,2,True,0.060615126
02078.ppm,38,True,0.058931183
03366.ppm,2,True,0.060504723
04409.ppm,18,True,0.056301832
07100.ppm,11,True,0.060785323
08233.ppm,10,False,0.056565825
01571.ppm,1,True,0.060786683
11762.ppm,25,True,0.060783602
07114.ppm,1,True,0.06075409
10468.ppm,4,False,0.04229408
08227.ppm,18,True,0.037969258
01565.ppm,1,True,0.0607659
09139.ppm,5,False,0.03539709
11776.ppm,35,True,0.06078681
05703.ppm,29,True,0.04446534
03372.ppm,9,True,0.06043084
03414.ppm,10,True,0.058702756
12519.ppm,5,False,0.04189888
05065.ppm,13,True,0.060786817
11010.ppm,13,True,0.060786817
01203.ppm,4,True,0.051484987
09887.ppm,31,True,0.06068155
07672.ppm,4,True,0.060778756
08541.ppm,18,True,0.060786597
04353.ppm,18,True,0.047887556
02722.ppm,12,True,0.060786802
12531.ppm,5,True,0.058942076
11038.ppm,5,True,0.060655206
09677.ppm,1,True,0.060410667
06544.ppm,9,False,0.060536172
07882.ppm,17,True,0.06078681
00135.ppm,10,True,0.05692454
08569.ppm,13,True,0.060786817
10326.ppm,33,True,0.06078681
10440.ppm,35,True,0.06078681
11986.ppm,18,True,0.055365574
00653.ppm,5,True,0.06074458
09111.ppm,11,True,0.05401848
06222.ppm,1,False,0.026953299
12257.ppm,10,True,0.057722617
02044.ppm,3,True,0.035354603
04435.ppm,5,True,0.060559954
12243.ppm,15,True,0.060786776
02050.ppm,39,True,0.060786817
04421.ppm,31,True,0.060774177
10454.ppm,2,False,0.042165022
07128.ppm,16,True,0.056831766
00647.ppm,7,True,0.053785242
11992.ppm,31,True,0.058907837
01559.ppm,20,True,0.060116664
09105.ppm,10,True,0.06078368
06236.ppm,10,True,0.06065766
09663.ppm,25,False,0.044007856
06550.ppm,18,True,0.060421307
07896.ppm,4,False,0.029988209
00121.ppm,7,True,0.058078714
10332.ppm,18,True,0.060723312
04347.ppm,12,True,0.060784638
03428.ppm,13,True,0.06078669
02736.ppm,2,True,0.04811845
05059.ppm,10,True,0.051471956
12525.ppm,31,False,0.03364405
02905.ppm,25,True,0.060786787
09850.ppm,25,True,0.056610543
08596.ppm,10,True,0.06067976
09688.ppm,10,False,0.030868735
00874.ppm,4,True,0.059692934
11979.ppm,17,True,0.060709707
05918.ppm,15,True,0.060757216
00860.ppm,5,True,0.028970929
09844.ppm,36,True,0.060163885
08582.ppm,4,True,0.060635872
07869.ppm,2,True,0.04116317
02911.ppm,12,True,0.060742732
07699.ppm,9,True,0.060672913
06587.ppm,11,True,0.060786776
07841.ppm,3,True,0.055788964
04390.ppm,9,True,0.060779482
02939.ppm,2,True,0.059331164
05930.ppm,37,False,0.031829026
03399.ppm,5,True,0.037714712
12294.ppm,22,True,0.059810396
02087.ppm,18,True,0.03350828
00848.ppm,12,True,0.060786817
10483.ppm,25,True,0.060786817
11945.ppm,2,True,0.06077455
00690.ppm,5,True,0.060680483
11789.ppm,11,True,0.042521115
10497.ppm,3,True,0.058481663
00684.ppm,37,False,0.05371912
11951.ppm,3,True,0.05927099
05924.ppm,38,False,0.039376788
12280.ppm,25,True,0.060786802
02093.ppm,11,True,0.060772464
04384.ppm,12,True,0.058092523
09878.ppm,17,True,0.060786817
06593.ppm,9,True,0.06078681
07855.ppm,1,True,0.038071137
11560.ppm,13,True,0.060778785
01773.ppm,10,True,0.060257
08031.ppm,37,False,0.051470857
07302.ppm,31,False,0.032443013
03164.ppm,12,True,0.060786817
05515.ppm,31,False,0.044483628
12069.ppm,9,True,0.060709603
05273.ppm,4,True,0.060511287
03602.ppm,2,True,0.06078666
10118.ppm,13,True,0.060786817
08757.ppm,15,True,0.060785387
07464.ppm,8,True,0.058636867
01015.ppm,35,True,0.060786683
09449.ppm,12,True,0.06070918
11206.ppm,10,True,0.06075844
08743.ppm,17,True,0.060786817
07470.ppm,1,False,0.040149696
01001.ppm,2,False,0.05469654
11212.ppm,5,True,0.054730095
05267.ppm,13,True,0.060786802
02508.ppm,9,True,0.06077289
03616.ppm,37,True,0.06078681
04179.ppm,4,True,0.060744256
03170.ppm,10,True,0.06070277
05501.ppm,10,True,0.060718615
11574.ppm,9,True,0.060780983
06008.ppm,13,True,0.060786817
01767.ppm,4,False,0.03053566
00479.ppm,13,True,0.060786817
08025.ppm,18,True,0.058335178
07316.ppm,23,True,0.056788303
04637.ppm,35,True,0.060786817
03158.ppm,10,True,0.06077858
02246.ppm,5,True,0.06078432
12055.ppm,1,True,0.060757253
05529.ppm,13,False,0.05741877
06020.ppm,2,True,0.059883874
09313.ppm,12,True,0.060734373
00451.ppm,10,True,0.05843794
01997.ppm,12,True,0.060786817
10642.ppm,1,True,0.060780447
07458.ppm,14,True,0.06078681
10124.ppm,11,True,0.06045802
00337.ppm,34,True,0.060786817
01029.ppm,1,True,0.060786296
06746.ppm,12,True,0.060786817
09475.ppm,41,True,0.03813003
02520.ppm,3,True,0.039274156
04151.ppm,12,True,0.060786515
02534.ppm,8,True,0.057049707
04145.ppm,2,False,0.059087675
10130.ppm,12,True,0.05893031
00323.ppm,6,True,0.060742773
06752.ppm,10,True,0.060771752
09461.ppm,38,True,0.060786817
06034.ppm,9,True,0.060780764
11548.ppm,26,True,0.05206686
09307.ppm,31,True,0.06072724
00445.ppm,1,True,0.060785837
08019.ppm,37,False,0.03817193
10656.ppm,5,False,0.03177022
01983.ppm,4,False,0.031748615
04623.ppm,12,True,0.060786817
02252.ppm,25,True,0.06077112
12041.ppm,36,True,0.060786817
04810.ppm,13,True,0.060786817
01968.ppm,1,True,0.060534872
10865.ppm,11,True,0.060776133
08794.ppm,13,True,0.06077334
06961.ppm,11,True,0.060785662
03819.ppm,1,False,0.028410245
08958.ppm,4,True,0.048983164
08780.ppm,1,False,0.04214378
06975.ppm,12,True,0.060786817
10871.ppm,1,True,0.043538254
04804.ppm,17,True,0.060786802
00492.ppm,0,False,0.03156341
01954.ppm,1,False,0.030488905
10681.ppm,11,True,0.03445245
10859.ppm,38,True,0.060786776
02285.ppm,38,True,0.05600525
12096.ppm,18,True,0.060528353
04192.ppm,11,True,0.041721214
03825.ppm,14,True,0.06078662
08970.ppm,2,True,0.06075829
06785.ppm,14,True,0.057917483
08964.ppm,8,True,0.048889913
06791.ppm,24,True,0.060246058
06949.ppm,1,True,0.058865067
04186.ppm,20,True,0.060724832
03831.ppm,2,False,0.049474627
05298.ppm,35,False,0.044138145
02291.ppm,14,True,0.059280787
04838.ppm,10,True,0.060784683
12082.ppm,31,False,0.035774168
00486.ppm,12,True,0.02749364
10695.ppm,18,True,0.060032133
01940.ppm,5,True,0.060477734
01798.ppm,4,False,0.034601558
08145.ppm,9,True,0.060387116
07276.ppm,12,False,0.059790205
00519.ppm,4,True,0.060251936
01607.ppm,3,True,0.05997098
11414.ppm,41,True,0.060786802
06168.ppm,8,True,0.06041353
05461.ppm,3,True,0.059893865
03010.ppm,9,True,0.040234093
04019.ppm,12,True,0.060149416
03776.ppm,1,False,0.032512024
02468.ppm,0,False,0.04290612
05307.ppm,2,True,0.024635399
11372.ppm,26,True,0.050771203
01161.ppm,4,True,0.06078572
08623.ppm,1,True,0.058304586
07510.ppm,5,True,0.060713172
09529.ppm,9,True,0.059151232
11366.ppm,11,False,0.060784746
01175.ppm,39,True,0.060786817
10078.ppm,41,False,0.05307634
08637.ppm,12,True,0.060786817
07504.ppm,42,True,0.058768142
03762.ppm,11,True,0.060785472
05313.ppm,30,True,0.06039572
05475.ppm,4,True,0.060744632
12109.ppm,11,True,0.05977795
03004.ppm,11,True,0.03940486
08151.ppm,10,True,0.06031796
07262.ppm,18,True,0.060748205
01613.ppm,16,True,0.06078681
11400.ppm,34,True,0.060786817
12121.ppm,15,True,0.06078665
02332.ppm,32,False,0.033713926
04743.ppm,30,False,0.036240406
08179.ppm,26,True,0.06064119
10736.ppm,25,True,0.05770902
00525.ppm,13,True,0.060786776
06154.ppm,17,True,0.060786817
11428.ppm,2,True,0.06074756
09267.ppm,31,False,0.040450044
06632.ppm,18,False,0.03627426
09501.ppm,17,True,0.060786817
00243.ppm,1,False,0.060719278
10050.ppm,4,True,0.047878776
04025.ppm,38,True,0.060786817
02454.ppm,2,True,0.060781095
03992.ppm,9,True,0.06055793
04031.ppm,1,True,0.05674675
02440.ppm,11,True,0.060511027
03986.ppm,17,True,0.027913408
06626.ppm,38,True,0.060786817
09515.ppm,4,True,0.059451416
01149.ppm,31,True,0.060785815
00257.ppm,13,True,0.060785238
07538.ppm,8,True,0.060530134
10044.ppm,9,True,0.057201535
10722.ppm,4,True,0.060655747
00531.ppm,15,True,0.060766224
06140.ppm,25,True,0.060786217
09273.ppm,2,True,0.058991563
12135.ppm,37,False,0.043955717
05449.ppm,10,True,0.06077603
02326.ppm,19,True,0.058458425
03038.ppm,1,True,0.06078232
04757.ppm,14,True,0.058051147
04964.ppm,14,True,0.060761984
10911.ppm,1,True,0.054611586
09298.ppm,18,True,0.044586796
08186.ppm,38,True,0.06078617
06815.ppm,1,True,0.060786344
08838.ppm,18,True,0.03557133
03979.ppm,38,False,0.031675268
06801.ppm,17,True,0.060786817
10905.ppm,17,True,0.033608723
08192.ppm,3,False,0.048244648
01808.ppm,9,True,0.06077726
04970.ppm,9,True,0.060786802
06197.ppm,36,True,0.060786817
07289.ppm,35,True,0.0483711
01820.ppm,4,False,0.040346976
04780.ppm,18,True,0.05648195
04958.ppm,25,True,0.060786776
02497.ppm,4,True,0.055839397
03951.ppm,17,True,0.060785867
03789.ppm,37,True,0.060772788
06829.ppm,3,True,0.054241534
00280.ppm,3,False,0.059528578
10093.ppm,5,False,0.055244457
08804.ppm,12,True,0.060786776
00294.ppm,5,True,0.054519527
10087.ppm,3,True,0.05537986
11399.ppm,5,False,0.043662723
08810.ppm,11,True,0.053267382
02483.ppm,17,True,0.033291534
03945.ppm,12,True,0.060786817
04794.ppm,28,False,0.03468711
10939.ppm,2,True,0.06021502
06183.ppm,36,False,0.043737087
01834.ppm,4,True,0.06071187
07712.ppm,8,False,0.043662563
08421.ppm,5,False,0.032668304
01363.ppm,11,True,0.05575247
11170.ppm,21,True,0.060693543
12479.ppm,3,True,0.049191922
05105.ppm,25,True,0.060786817
03574.ppm,12,True,0.024011424
03212.ppm,4,False,0.05075466
05663.ppm,13,True,0.060786817
09059.ppm,15,True,0.060759366
11616.ppm,4,False,0.043630034
01405.ppm,10,True,0.060780603
07074.ppm,13,True,0.060786817
10508.ppm,3,True,0.0425513
08347.ppm,37,False,0.05320439
11602.ppm,10,True,0.0591377
01411.ppm,7,True,0.060786515
07060.ppm,1,True,0.039444204
08353.ppm,38,True,0.060786817
04569.ppm,25,True,0.060786817
03206.ppm,7,True,0.06058158
02118.ppm,9,True,0.06077942
05677.ppm,9,True,0.054712087
05111.ppm,2,False,0.043052804
03560.ppm,17,True,0.03160899
07706.ppm,35,True,0.04574061
08435.ppm,31,True,0.06030833
00069.ppm,28,True,0.060005
01377.ppm,5,False,0.0503281
06418.ppm,32,False,0.03307168
11164.ppm,1,True,0.05150158
05139.ppm,2,True,0.04434703
12445.ppm,10,True,0.060764786
02656.ppm,25,True,0.059207235
03548.ppm,38,True,0.060737763
04227.ppm,1,True,0.05078422
10252.ppm,22,True,0.06073561
00041.ppm,30,True,0.038849514
09703.ppm,18,True,0.05597143
06430.ppm,2,False,0.055344403
09065.ppm,12,True,0.060786817
06356.ppm,25,False,0.038964316
01439.ppm,10,True,0.06078676
00727.ppm,11,True,0.060756147
10534.ppm,10,True,0.060745973
07048.ppm,31,True,0.0606905
04541.ppm,2,True,0.045715798
05887.ppm,13,True,0.060762927
02130.ppm,16,True,0.058607284
12323.ppm,4,True,0.057196464
04555.ppm,36,True,0.060775157
05893.ppm,18,True,0.060645074
02124.ppm,11,True,0.050393753
12337.ppm,2,True,0.060722053
09071.ppm,21,True,0.057695717
06342.ppm,14,True,0.060778733
00733.ppm,38,True,0.060699157
10520.ppm,13,True,0.060786817
08409.ppm,4,False,0.036531407
10246.ppm,4,True,0.057254765
00055.ppm,35,True,0.060786776
11158.ppm,17,True,0.060786296
09717.ppm,38,True,0.060786817
06424.ppm,4,True,0.059321683
12451.ppm,31,True,0.059190683
02642.ppm,25,True,0.060786784
04233.ppm,1,True,0.059359316
02871.ppm,25,True,0.050622974
07909.ppm,38,False,0.04216663
09924.ppm,38,True,0.060785007
08384.ppm,9,True,0.060766026
00900.ppm,11,True,0.060726676
05878.ppm,18,True,0.055573046
11819.ppm,5,True,0.06029435
08390.ppm,3,True,0.05809631
00914.ppm,0,False,0.032854248
09930.ppm,12,True,0.040002037
02865.ppm,4,True,0.060147062
07935.ppm,36,False,0.05953861
