Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.8672,0.4871,0.9670,0.7198
2,0.6742,0.8035,0.6311,0.8056
3,0.4239,0.8744,0.6064,0.8178
4,0.2966,0.9096,0.5303,0.8468
5,0.2089,0.9356,0.6594,0.8255
6,0.1569,0.9525,0.6322,0.8283
7,0.1034,0.9688,0.5800,0.8521
8,0.0696,0.9787,0.6118,0.8515
9,0.0729,0.9776,0.6355,0.8506
10,0.0408,0.9882,0.7616,0.8429
11,0.0309,0.9904,0.7102,0.8553
12,0.0414,0.9878,0.7479,0.8497
13,0.0206,0.9949,0.7601,0.8542
14,0.0354,0.9904,0.7559,0.8575
15,0.0078,0.9983,0.8083,0.8534
16,0.0402,0.9870,0.7938,0.8555
17,0.0183,0.9946,0.7929,0.8480
18,0.0242,0.9943,0.8924,0.8405
19,0.0156,0.9953,0.8653,0.8502
20,0.0138,0.9954,0.8389,0.8489
