Train_Loss,Train_Accuracy,Val_Loss,Epoch,Val_Accuracy
1.8672,0.4871,0.9670,1,0.7198
0.6742,0.8035,0.6311,2,0.8056
0.4239,0.8744,0.6064,3,0.8178
0.2966,0.9096,0.5303,4,0.8468
0.2089,0.9356,0.6594,5,0.8255
0.1569,0.9525,0.6322,6,0.8283
0.1034,0.9688,0.5800,7,0.8521
0.0696,0.9787,0.6118,8,0.8515
0.0729,0.9776,0.6355,9,0.8506
0.0408,0.9882,0.7616,10,0.8429
0.0309,0.9904,0.7102,11,0.8553
0.0414,0.9878,0.7479,12,0.8497
0.0206,0.9949,0.7601,13,0.8542
0.0354,0.9904,0.7559,14,0.8575
0.0078,0.9983,0.8083,15,0.8534
0.0402,0.9870,0.7938,16,0.8555
0.0183,0.9946,0.7929,17,0.8480
0.0242,0.9943,0.8924,18,0.8405
0.0156,0.9953,0.8653,19,0.8502
0.0138,0.9954,0.8389,20,0.8489
